Date,MACD,Signal_Line
2021-01-04,0.0,0.0
2021-01-05,0.6222212484444753,0.12444424968889507
2021-01-06,-0.697830736595904,-0.04001074756806473
2021-01-07,-0.2515151018292272,-0.08231161842029723
2021-01-08,2.2341357272914024,0.3809778507220427
2021-01-11,1.2739570901991328,0.5595736986174608
2021-01-12,1.099868319148527,0.667632622723674
2021-01-13,1.623417919168105,0.8587896820125602
2021-01-14,1.7055922385422377,1.0281501933184958
2021-01-15,0.8618747420137538,0.9948951030575475
2021-01-19,1.6859485769135176,1.1331057978287415
2021-01-20,5.69950164108036,2.0463849664790654
2021-01-21,8.846079941772075,3.4063239615376677
2021-01-22,11.355723582799783,4.9962038857900914
2021-01-25,13.773299288702333,6.7516229663725404
2021-01-26,15.793640542754815,8.560026481648997
2021-01-27,14.52417980968761,9.75285714725672
2021-01-28,13.632901867947908,10.528866091394956
2021-01-29,10.883065019418495,10.599705876999664
2021-02-01,10.862159790873648,10.652196659774463
2021-02-02,11.946497665188929,10.911056860857355
2021-02-03,13.033240456352303,11.335493579956346
2021-02-04,14.834613255834142,12.035317515131906
2021-02-05,16.731019392985615,12.974457890702649
2021-02-08,18.831040782176217,14.145774468997363
2021-02-09,21.246943602109866,15.566008295619863
2021-02-10,24.419667190678865,17.336740074631663
2021-02-11,27.15681782816887,19.300755625339107
2021-02-12,29.60128952091037,21.36086240445336
2021-02-16,32.16033287026727,23.520756497616144
2021-02-17,32.36288440756658,25.28918207960623
2021-02-18,30.98012028600266,26.42736972088552
2021-02-19,30.660517395478166,27.27399925580405
2021-02-22,27.412277077010515,27.301654820045346
2021-02-23,24.435310706963037,26.728385997428887
2021-02-24,21.569192939479024,25.696547385838915
2021-02-25,16.07045036078381,23.771327980827895
2021-02-26,11.595132630646106,21.33608891079154
2021-03-01,10.325923045134914,19.134055737660212
2021-03-02,7.466845673915145,16.8006137249112
2021-03-03,2.1423048457696154,13.868951949082884
2021-03-04,-4.0560373708147495,10.283954085103359
2021-03-05,-8.32361657843137,6.562439952396414
2021-03-08,-15.01845789776712,2.246260382363707
2021-03-09,-16.454946103830537,-1.4939809148751417
2021-03-10,-18.278349645568767,-4.850854661013867
2021-03-11,-16.87414094555089,-7.255511917921272
2021-03-12,-16.818146768094664,-9.168038887955952
2021-03-15,-15.67321567130034,-10.46907424462483
2021-03-16,-14.645441473563494,-11.304347690412563
2021-03-17,-12.436838424355813,-11.530845837201214
2021-03-18,-13.181244310322938,-11.860925531825561
2021-03-19,-13.478641175290647,-12.18446866051858
2021-03-22,-12.776276260649468,-12.302830180544756
2021-03-23,-12.295777358162525,-12.30141961606831
2021-03-24,-14.164379983477204,-12.67401168955009
2021-03-25,-16.95072740706479,-13.52935483305303
2021-03-26,-18.637458308519797,-14.550975528146385
2021-03-29,-19.19615157223501,-15.480010736964111
2021-03-30,-19.08007094384965,-16.200022778341218
2021-03-31,-17.758583924227594,-16.511735007518496
2021-04-01,-15.579541819421365,-16.32529636989907
2021-04-05,-12.306736761867512,-15.52158444829276
2021-04-06,-9.043920984446459,-14.2260517555235
2021-04-07,-6.009591896028894,-12.58275978362458
2021-04-08,-2.49483534192359,-10.565174895284382
2021-04-09,0.27136708528615827,-8.397866499170275
2021-04-12,3.4167228042193756,-6.034948638492345
2021-04-13,7.30990404376854,-3.3659781020401685
2021-04-14,8.481941720979194,-0.9963941374362961
2021-04-15,10.595850785523453,1.3220548471556537
2021-04-16,11.820186285539307,3.4216811348323843
2021-04-19,11.543866795961549,5.046118267058217
2021-04-20,10.342260902475061,6.105346794141586
2021-04-21,9.490379154837797,6.782353266280828
2021-04-22,7.334739525454381,6.892830518115539
2021-04-23,6.878500618952273,6.889964538282886
2021-04-26,6.913318230998129,6.894635276825936
2021-04-27,6.311383435546929,6.777984908570135
2021-04-28,6.015151436705651,6.625418214197238
2021-04-29,5.985736689337671,6.497481909225325
2021-04-30,4.522399112159405,6.1024653498121415
2021-05-03,2.3591295934396044,5.353798198537635
2021-05-04,-0.702794321733279,4.142479694483452
2021-05-05,-3.5484303364957555,2.6042976882876103
2021-05-06,-5.482207661047596,0.9869966184205692
2021-05-07,-6.703461520037763,-0.5510950092710973
2021-05-10,-10.056826093092297,-2.4522412260353375
2021-05-11,-12.306251435011575,-4.423043267830585
2021-05-12,-15.627523860913982,-6.6639393864472645
2021-05-13,-18.418520990764364,-9.014855707310685
2021-05-14,-18.967382237612867,-11.005361013371122
2021-05-17,-19.13338549412248,-12.630965909521393
2021-05-18,-19.436283450434928,-13.992029417704101
2021-05-19,-19.48401011861887,-15.090425557887055
2021-05-20,-17.871441847757694,-15.646628815861185
2021-05-21,-16.867050026721017,-15.890713058033151
2021-05-24,-14.499880127906351,-15.612546472007793
2021-05-25,-12.2407027983175,-14.938177737269735
2021-05-26,-9.916383527274263,-13.93381889527064
2021-05-27,-7.998281400949452,-12.746711396406404
2021-05-28,-6.188963174028913,-11.435161751930906
2021-06-01,-4.493468769478341,-10.046823155440393
2021-06-02,-3.0819739961697223,-8.65385332358626
2021-06-03,-2.9780168490342476,-7.518686028675858
2021-06-04,-1.4666200317738571,-6.308272829295458
2021-06-07,-0.09824175322199835,-5.066266614080766
2021-06-08,0.815424895252761,-3.889928312214061
2021-06-09,1.314560102807036,-2.849030629209842
2021-06-10,2.185227577058299,-1.8421789879562138
2021-06-11,3.0738101246733436,-0.8589811654303023
2021-06-14,4.708184204136103,0.2544519084829787
2021-06-15,5.0974153580839925,1.2230445984031817
2021-06-16,5.224620218207519,2.0233597223640496
