Date,MA,Upper_Band,Lower_Band
2021-01-04,278.6700134277,,
2021-01-05,282.5700073242,293.60085584740517,271.5391588009948
2021-01-06,276.34666951496666,299.2726157642482,253.42072326568513
2021-01-07,277.849998474125,297.5111100475094,258.1888869007406
2021-01-08,284.1,316.82873145562775,251.37126854437227
2021-01-11,282.24500020345,312.8965984006157,251.5934020062843
2021-01-12,281.9814278738857,309.99711806959465,253.96573767817674
2021-01-13,282.8374977111875,309.22318926040015,256.45180616197484
2021-01-14,283.07222154405554,307.7939237247652,258.3505193633459
2021-01-15,282.14599914551,306.17870862668246,258.1132896643376
2021-01-19,283.09181629528183,306.7386997275886,259.44493286297507
2021-01-20,287.41833241780836,324.92620626885883,249.91045856675788
2021-01-21,291.14384577824615,335.9917584791559,246.29593307733637
2021-01-22,294.46714346749286,344.21750424420225,244.71678269078345
2021-01-25,297.8326680501267,352.4029071710904,243.262428929163
2021-01-26,300.9993762969938,359.49021514891035,242.50853744507717
2021-01-27,301.8229423971706,358.86219507901535,244.78368971532583
2021-01-28,302.74222310383885,358.6255026265664,246.8589435811113
2021-01-29,302.3136853669789,356.7508160854086,247.87655464854925
2021-02-01,303.34300079345496,357.1221039504841,249.56389763642585
2021-02-02,306.32200012207,360.94061126638417,251.70338897775582
2021-02-03,309.144999694825,365.2592102460965,253.03078914355353
2021-02-04,313.78500061035004,369.49212661758867,258.0778746031114
2021-02-05,317.912001037595,375.99572785009093,259.8282742250991
2021-02-08,321.20650024414,384.4326405204357,257.98035996784427
2021-02-09,326.925,392.42902566338444,261.4209743366156
2021-02-10,333.22600097656,403.92480055964916,262.5272013934708
2021-02-11,339.437501525875,415.3499543987964,263.5250486529536
2021-02-12,346.225001525875,425.81094766098386,266.6390553907661
2021-02-16,354.184501647945,435.1068531530325,273.26215014285754
2021-02-17,360.30700225829503,440.1160366888262,280.49796782776383
2021-02-18,363.571501159665,444.35894337134056,282.7840589479894
2021-02-19,367.49400024414,450.2092116974064,284.77878879087365
2021-02-22,369.66549987793,451.3580228495549,287.9729769063051
2021-02-23,371.397999572755,452.3498793003049,290.4461198452051
2021-02-24,372.79299926758,453.0419717536364,292.5440267815236
2021-02-25,373.97799987792996,451.2795011944762,296.6764985613837
2021-02-26,375.004499816895,449.6980805601479,300.31091907364214
2021-03-01,378.704499816895,443.27303900400835,314.13596062978166
2021-03-02,379.89450073242,440.91223672722043,318.87676473761957
2021-03-03,378.437001037595,444.8014484385727,312.0725536366173
2021-03-04,375.490501403805,452.819738395022,298.161264412588
2021-03-05,372.19550018310497,458.04280856788097,286.34819179832897
2021-03-08,366.330500793455,468.71184168336674,263.9491599035432
2021-03-09,362.241001892085,469.5799256701493,254.90207811402075
2021-03-10,356.979002380365,469.3380683076766,244.61993645305336
2021-03-11,352.40800170898,463.73171241078137,241.08429100717862
2021-03-12,346.73000183104995,456.60303771961486,236.85696594248503
2021-03-15,341.240000915525,446.4233735313918,236.0566282996582
2021-03-16,335.105000305175,431.7175703011059,238.49243030924407
2021-03-17,330.644999694825,419.665383414413,241.624615975237
2021-03-18,325.28000030517495,409.4248011572467,241.1351994531032
2021-03-19,319.300001525875,393.1804461521106,245.41955689963942
2021-03-22,315.4700012207,383.5774115894888,247.3625908519112
2021-03-23,311.58000030517496,372.804370233492,250.35563037685793
