Date,Symbol,Action,Price,Shares,Transaction Amount,Gain/Loss,Balance
2024-06-07 00:00:00,FNGU,Buy,372.54,502.00,187015.08,0.00,327.25
2024-07-15 00:00:00,FNGU,Sell,503.82,502.00,252917.64,2018.05,253244.89
2024-08-14 00:00:00,FNGU,Buy,375.95,673.00,253014.36,0.00,230.54
2024-09-03 00:00:00,FNGU,Sell,346.63,673.00,233281.99,-27579.53,233512.53
2024-09-12 00:00:00,FNGU,Buy,388.31,601.00,233374.31,0.00,138.22
2024-10-24 00:00:00,FNGU,Sell,443.68,601.00,266651.68,6941.54,266789.90
2024-10-29 00:00:00,FNGU,Buy,471.52,565.00,266408.79,0.00,381.10
2024-10-31 00:00:00,FNGU,Sell,423.60,565.00,239334.00,-26216.00,239715.11
2024-11-07 00:00:00,FNGU,Buy,523.20,458.00,239625.61,0.00,89.50
2024-11-18 00:00:00,FNGU,Sell,485.56,458.00,222386.48,3645.68,222475.98
122475.98,222475.98,122.48,31.37,,,,
